index,iso_date
0,2022-02-15
1,2022-02-16
2,2022-02-17
3,2022-02-18
4,2022-02-19
5,2022-02-20
6,2022-02-21
7,2022-02-22
8,2022-02-23
9,2022-02-24
10,2022-02-25
11,2022-02-26
12,2022-02-27
13,2022-02-28
14,2022-03-01
15,2022-03-02
16,2022-03-03
17,2022-03-04
18,2022-03-05
19,2022-03-06
20,2022-03-07
21,2022-03-08
22,2022-03-09
23,2022-03-10
24,2022-03-11
25,2022-03-12
26,2022-03-13
27,2022-03-14
28,2022-03-15
29,2022-03-16
30,2022-03-17
31,2022-03-18
32,2022-03-19
33,2022-03-20
34,2022-03-21
35,2022-03-22
36,2022-03-23
37,2022-03-24
38,2022-03-25
39,2022-03-26
40,2022-03-27
41,2022-03-28
42,2022-03-29
43,2022-03-30
44,2022-03-31
45,2022-04-01
46,2022-04-02
47,2022-04-03
48,2022-04-04
49,2022-04-05
50,2022-04-06
51,2022-04-07
52,2022-04-08
53,2022-04-09
54,2022-04-10
55,2022-04-11
56,2022-04-12
57,2022-04-13
58,2022-04-14
59,2022-04-15
60,2022-04-16
61,2022-04-17
62,2022-04-18
63,2022-04-19
64,2022-04-20
65,2022-04-21
66,2022-04-22
67,2022-04-23
68,2022-04-24
69,2022-04-25
70,2022-04-26
71,2022-04-27
72,2022-04-28
73,2022-04-29
74,2022-04-30
75,2022-05-01
76,2022-05-02
77,2022-05-03
78,2022-05-04
79,2022-05-05
80,2022-05-06
81,2022-05-07
82,2022-05-08
83,2022-05-09
84,2022-05-10
85,2022-05-11
86,2022-05-12
87,2022-05-13
88,2022-05-14
89,2022-05-15
90,2022-05-16
91,2022-05-17
92,2022-05-18
93,2022-05-19
94,2022-05-20
95,2022-05-21
96,2022-05-22
97,2022-05-23
98,2022-05-24
99,2022-05-25
100,2022-05-26
101,2022-05-27
102,2022-05-28
103,2022-05-29
104,2022-05-30
105,2022-05-31
106,2022-06-01
107,2022-06-02
108,2022-06-03
109,2022-06-04
110,2022-06-05
111,2022-06-06
112,2022-06-07
113,2022-06-08
114,2022-06-09
115,2022-06-10
116,2022-06-11
117,2022-06-12
118,2022-06-13
119,2022-06-14
120,2022-06-15
121,2022-06-16
122,2022-06-17
123,2022-06-18
124,2022-06-19
125,2022-06-20
126,2022-06-21
127,2022-06-22
128,2022-06-23
129,2022-06-24
130,2022-06-25
131,2022-06-26
132,2022-06-27
133,2022-06-28
134,2022-06-29
135,2022-06-30
136,2022-07-01
137,2022-07-02
138,2022-07-03
139,2022-07-04
140,2022-07-05
141,2022-07-06
142,2022-07-07
143,2022-07-08
144,2022-07-09
145,2022-07-10
146,2022-07-11
147,2022-07-12
148,2022-07-13
149,2022-07-14
150,2022-07-15
151,2022-07-16
152,2022-07-17
153,2022-07-18
154,2022-07-19
155,2022-07-20
156,2022-07-21
157,2022-07-22
158,2022-07-23
159,2022-07-24
160,2022-07-25
161,2022-07-26
162,2022-07-27
163,2022-07-28
164,2022-07-29
165,2022-07-30
166,2022-07-31
167,2022-08-01
168,2022-08-02
169,2022-08-03
170,2022-08-04
171,2022-08-05
172,2022-08-06
173,2022-08-07
174,2022-08-08
175,2022-08-09
176,2022-08-10
177,2022-08-11
178,2022-08-12
179,2022-08-13
180,2022-08-14
181,2022-08-15
182,2022-08-16
183,2022-08-17
184,2022-08-18
185,2022-08-19
186,2022-08-20
187,2022-08-21
188,2022-08-22
189,2022-08-23
190,2022-08-24
191,2022-08-25
192,2022-08-26
193,2022-08-27
194,2022-08-28
195,2022-08-29
196,2022-08-30
197,2022-08-31
198,2022-09-01
199,2022-09-02
200,2022-09-03
201,2022-09-04
202,2022-09-05
203,2022-09-06
204,2022-09-07
205,2022-09-08
206,2022-09-09
207,2022-09-10
208,2022-09-11
209,2022-09-12
210,2022-09-13
211,2022-09-14
212,2022-09-15
213,2022-09-16
214,2022-09-17
215,2022-09-18
216,2022-09-19
217,2022-09-20
218,2022-09-21
219,2022-09-22
220,2022-09-23
221,2022-09-24
222,2022-09-25
223,2022-09-26
224,2022-09-27
225,2022-09-28
226,2022-09-29
227,2022-09-30
228,2022-10-01
229,2022-10-02
230,2022-10-03
231,2022-10-04
232,2022-10-05
233,2022-10-06
234,2022-10-07
235,2022-10-08
236,2022-10-09
237,2022-10-10
238,2022-10-11
239,2022-10-12
240,2022-10-13
241,2022-10-14
242,2022-10-15
243,2022-10-16
244,2022-10-17
245,2022-10-18
246,2022-10-19
247,2022-10-20
248,2022-10-21
249,2022-10-22
250,2022-10-23
251,2022-10-24
252,2022-10-25
253,2022-10-26
254,2022-10-27
255,2022-10-28
256,2022-10-29
257,2022-10-30
258,2022-10-31
259,2022-11-01
260,2022-11-02
261,2022-11-03
262,2022-11-04
263,2022-11-05
264,2022-11-06
265,2022-11-07
266,2022-11-08
267,2022-11-09
268,2022-11-10
269,2022-11-11
270,2022-11-12
271,2022-11-13
272,2022-11-14
273,2022-11-15
274,2022-11-16
275,2022-11-17
276,2022-11-18
277,2022-11-19
278,2022-11-20
279,2022-11-21
280,2022-11-22
281,2022-11-23
282,2022-11-24
283,2022-11-25
284,2022-11-26
285,2022-11-27
286,2022-11-28
287,2022-11-29
288,2022-11-30
289,2022-12-01
